A	a
missbräuchlich	abusively
abgrundtief	abysmally
Abgrund	abyss
Wissenschaft	science
akademisch	academic
wissenschaftlich	scientifically
Akademie	academy
Beschleunigen	accelerant
beschleunigen	quicken
beschleunigt	sped
Beschleunigung	acceleration
beschleunigend	acceleratory
Beschleuniger	accelerator
Beschleunigungsmesser	accelerometer
Akzent	accent
akzentuiert	accentually
akzentuieren	accentuate
Akzentuierung	accentuation
akzeptieren	acceptant
Annehmbarkeit	acceptability
akzeptabel	acceptably
Akzeptanz	acceptableness
Annahme	supposition
akzeptiert	accepted
Akzeptor	acceptor
Zugang	access
Barrierefreiheit	accessibility
zugänglich	approachable
ausstatten	accessorize
Zubehörteil	accessory
Unfall	accident
zufällig	serendipitous
versehentlich	inadvertently
Anerkennung	appreciation
Akklamation	acclamation
akklimatisieren	acclimatize
Akklimatisierung	acclimatization
Akkolade	accolade
unterbringen	accommodate
zuvorkommend	obligingly
Unterkunft	lodging
entgegenkommend	oncoming
Unterbringung	accommodator
Begleiter	companion
Begleitung	accompaniment
begleiten	escort
der Mitschuldige	accomplice
erreichen	reaching
erreichbar	reachable
vollendet	consummate
Vollstrecker	enforcer
Leistung	power
Übereinstimmung	accordance
entsprechend	correspondingly
Akkordeon	accordion
Akkordeonist	accordionist
angesprochen	accosted
Konto	account
Rechenschaftspflicht	accountability
verantwortlich	responsible
Verantwortung	responsibility
Buchhaltung	bookkeeping
Buchhalter	bookkeeper
akkreditieren	accredit
Akkreditierung	accreditation
akkreditiert	accredited
anfallen	accrue
erhöht	heightened
akkumulieren	accumulate
Akkumulation	accumulation
kumulativ	cumulatively
Akkumulierung	accumulativeness
Akkumulator	accumulator
Genauigkeit	preciseness
genau	precisely
verflucht	cursedly
anklagbar	accusable
Akkusativ	accusative
anklagend	accusingly
beschuldigen	blame
beschuldigt	blamed
Ankläger	accuser
gewöhnen	accustom
gewohnt	accustomed
As	ace
Aceton	acetone
Acetylen	acetylene
schmerzen	ache
DURCHFÜHRER	achiever
Schmerzen	soreness
Schmerz	mob
schmerzhaft	achingly
schmerzt	achy
Säure	tartness
sauer	sourly
Versauerung	acidification
ansäuern	acidify
Säuremesser	acidometer
anerkennenswert	acknowledgeable
anerkannt	acknowledged
Wissen	knowledge
Akne	acne
Eichel	acorn
akustisch	acoustically
bekannt machen	acquaint
Bekanntschaft	acquaintance
bekannt	renowned
zustimmen	agree
stillschweigend	acquiescently
erwerbbar	acquirable
erwerben	acquire
erworben	acquired
Aneignung	acquirement
Erwerber	acquirer
Erwerb	acquisition
erwerbstätig	acquisitively
freisprechen	acquitter
Freispruch	acquittal
Acre	acre
scharf	tangy
erbittert	fierce
Akrobat	acrobat
akrobatisch	acrobatically
Akrobatik	acrobatics
Akronym	acronym
Höhenangst	acrophobia
Acryl	acrylic
Akt	act
Schauspielkunst	acting
Aktion	action
umsetzbar	implemental
aktivieren Sie	activate
Aktivierung	activation
Aktivator	activator
aktiv	actively
Aktivität	activity
Aktivismus	activism
Aktivist	activist
Schauspieler	actor
Darstellerin	actress
tatsächlich	actual
Wirklichkeit	reality
Verwirklichung	actualization
verwirklichen	actualize
Genau genommen	actually
Akupressur	acupressure
Akupunktur	acupuncture
Akupunkteur	acupuncturist
akut	acutely
Anzeige	display
Sprichwort	saying
unnachgiebig	unyieldingly
unerbittlich	unrelentingly
Anpassungsfähigkeit	adaptability
anpassungsfähig	conformable
Adapter	adaptor
adaption	adaption
adaptiv	adaptively
hinzufügen	add
hinzugefügt	added
Nachtrag	addendum
süchtig	hooky
Sucht	addictedness
süchtig machend	addictive
Suchtgefahr	addictiveness
zusätzlich	additionally
Zusatzstoff	additive
additiv	additively
Adresse	address
adressierbar	addressable
Adressbuch	addressbook
Adressat	addressor
Adressierer	addresser
geschickt	skillfully
Geschicklichkeit	sleight
Angemessenheit	reasonableness
angemessen	commensurate
ausreichend	sufficing
haften	cling
Adhärenz	adherence
Anhänger	trailer
haftend	adherently
Adhäsion	adhesion
Klebstoff	adhesive
klebend	adhesively
Haftfähigkeit	adhesiveness
benachbart	neighboring
daneben	adjacently
adjektivisch	adjectivally
Adjektiv	adjective
angrenzen	adjoin
angeschlossen	adjoined
angrenzend	adjoining
vertagen	adjourn
Unterbrechung	interruption
entscheiden	adjudicate
Entscheidung	decision
Zusatz	adjunct
anpassen	customize
Verstellbarkeit	adjustability
einstellbar	adjustable
verstellbar	adjustably
Einsteller	adjustor
Einstellung	discontinuation
Administrator	administrator
verwalten	manage
verwaltbar	administrable
verwaltungstechnisch	administrational
administrativ	administratively
bewundernswert	admirably
Admiral	admiral
Bewunderung	admiration
bewundern	admire
bewundert	admired
Bewunderer	admirer
bewundernd	admiringly
Zulässigkeit	allowableness
zulässig	permissibly
Zulassung	admittance
zustimmend	consenting
zugeben	concede
zugelassen	admitted
freilich	admittedly
um zugelassen zu werden	admitter
mahnend	admonishingly
Ermahnung	exhortation
Adobe	adobe
Jugend	youth
Jugendlicher	youngster
jugendlich	youthfully
adoptieren	adopt
Adoptierbarkeit	adoptability
adoptierbar	adoptable
angenommen	adopted
adoptiert	adoptee
Adoptant	adopter
adoptiv	adoptively
Liebenswürdigkeit	lovability
liebenswert	lovably
hinreißend	ravishingly
Anbetung	worshipfulness
verehren	revere
liebevoll	lovingly
schmücken	adorn
Zierer	adorner
Schmuck	jewelry
Nebenniere	adrenal
Adrenalin	epinephrine
treibend	propulsive
Erwachsene	adult
Verfälschung	adulteration
Ehebrecher	adulterer
Ehebrecherin	adulteress
ehebrecherisch	adulterously
Ehebruch	adultery
Erwachsensein	adultness
erwachsenenhaft	adultlike
Vorauszahlung	advance
fortschrittlich	advanced
Förderung	promotion
Vorreiter	advancer
voranschreiten	advancing
Vorteil	advantage
vorteilhaft	beneficial
Vorteilhaftigkeit	advantageousness
Advent	advent
Abenteuer	adventure
Abenteurer	adventurist
abenteuerlich	adventurously
Abenteurerin	adventuress
Abenteuerlust	adventurousness
Adverb	adverb
gegnerisch	adversarial
Gegner	opponent
nachteilig	prejudicially
Ungünstigkeit	adverseness
Unglück	unhappiness
Inserat	advert
werben	wooing
Werbung	publicity
Inserent	advertiser
Beratung	advice
Zweckmäßigkeit	expediency
ratsam	advisable
beraten	advise
geraten	advised
mit Bedacht	judiciously
Berater	counselor
beratend	deliberative
Interessenvertretung	advocacy
Belüftung	ventilation
Belüfter	aerator
Antenne	antenna
Luftakrobat	aerialist
aus der Luft	aerially
Kunstflug	aerobatics
Aerobic	aerobics
aerob	aerobically
aerodynamisch	aerodynamic
Aerodynamik	aerodynamics
Aerograph	aerographer
Aeromechanik	aeromechanics
Luftfahrt	aviation
Aerosol	aerosol
Luft- und Raumfahrt	aerospace
ästhetisch	aesthetically
Kosmetikerin	cosmetologist
Ästhetizismus	aestheticism
Ästhetik	aesthetics
in der Ferne	afar
Freundlichkeit	pleasantness
freundlich	kindheartedly
Affäre	affair
beeinflussen	influence
betroffen	concerned
Betroffenheit	affectedness
beeinflussend	affecting
Zuneigung	affection
affektiv	affectively
Affektivität	affectivity
eidesstattliche Erklärung	affidavit
Affiliate	affiliate
Zugehörigkeit	belonging
bestätigen	validate
bejahend	affirmatively
Bejahung	affirmation
positiv	positively
Affix	affix
Anhang	attachment
beschweren	complain
befallen	infest
belastend	taxing
Gebrechen	affliction
wohlhabend	wealthily
leisten	afford
Bezahlbarkeit	affordability
Beleidigung	insult
beleidigt	slighted
afghanisch	afghan
Liebhaber	lover
flott	nippiness
aflutter	aflutter
vorgenannten	aforementioned
besorgt	worrywart
Afro	afro
nach	after
Nachgeburt	afterbirth
Nachbrenner	afterburner
Nachbehandlung	aftercare
Nachwirkung	aftereffect
nach Geschäftsschluss	afterhours
Leben nach dem Tod	afterlife
Nachwirkungen	aftermath
nachletzte	aftermost
Nachmittag	afternoon
Nach der Party	afterparty
Nachverkauf	aftersale
nach der Schule	afterschool
Aftershave	aftershave
Nachbeben	aftershock
Nachgeschmack	aftertaste
nach der Zeit	aftertime
Nachzeiten	aftertimes
nachher	afterward
Nachwelt	posterity
wieder	weeder
gegen	versus
Alter	oldness
alt	old
Altersdiskriminierung	ageism
zeitlos	timelessly
Alterslosigkeit	agelessness
Agentur	agency
Agenda	agenda
Agent	agent
verschlimmern	aggravate
verschärft	aggravated
erschwerend	aggravating
Verschlimmerung	exacerbation
Verschärfer	aggravator
Aggregat	aggregate
aggregiert	aggregately
Anhäufung	aggregation
aggregativ	aggregative
Aggregator	aggregator
Aggression	aggression
aggressiv	aggressively
Aggressivität	aggressiveness
betrüben	sadden
gekränkt	aggrievedly
August	august
agil	agile
Beweglichkeit	agility
Altern	aging
agitiert	agitated
aufgeregt	flurried
Agitation	agitation
Agitator	agitator
agnostisch	agnostically
Agnostizismus	agnosticism
vor	prior
agonistisch	agonistic
quälen	torment
quälend	torturously
Qual	agony
Agoraphobie	agoraphobia
agoraphobisch	agoraphobic
angenehm	pleasurably
Verträglichkeit	tolerability
vereinbart	shoddily
Vereinbarung	agreement
landwirtschaftlich	agriculturally
Landwirt	agriculturist
Landwirtschaft	farming
auf Grund gelaufen	aground
voraus	ahead
Hm	ahem
Ahoi	ahoy
Hilfe	assistance
Helfer	helper
hilflos	helplessly
AIDS	aids
kränklich	sickly
Leiden	ailment
Ziel	target
Zielen	aiming
ziellos	aimlessly
Ziellosigkeit	aimlessness
Luft	air
Airbag	airbag
Luftmatratze	airbed
Luftboot	airboat
in der Luft	midair
Airbrush	airbrush
Flugzeug	plane
Flugzeugführer	aircraftman
Flugzeugbesatzung	aircrew
Flugplatz	airfield
Luftstrom	airstream
Luftwaffe	airforce
Luftfracht	airfreight
Luftkopf	airhead
Lüftung	airing
Fluggesellschaft	airline
Verkehrsflugzeug	airliner
Luftpost	airmail
Flugkunst	airmanship
Flughafen	airport
Luftkraft	airpower
luftdicht	airtight
Luftschiff	airship
Flugschau	airshow
luftkrank	airsick
Luftkrankheit	airsickness
Luftraum	airspace
Fluggeschwindigkeit	airspeed
Luftangriff	airstrike
Landebahn	airstrip
Sendezeit	airtime
es war kaputt	airwave
Atemweg	airway
Lufttüchtigkeit	airworthiness
luftig	breezy
Gang	gear
unterrichten	teach
meins	mine
Alabaster	alabaster
Alarm	alert
Wecker	alarmclock
alarmiert	alarmed
alarmierend	alarming
erschreckend	terrifyingly
Alarmist	alarmist
Ach	alas
Weißer Thun	albacore
Albatros	albatross
albeit	albeit
Albino	albino
Album	album
alchemistisch	alchemically
Alchimist	alchemist
Alchimie	alchemy
Alkohol	liquor
Alkoholiker	alcoholic
alkoholisch	alcoholically
Alkoholismus	alcoholism
Alkoven	alcove
Aber	but
Bierstube	alehouse
aufmerksam	observantly
Wachsamkeit	watchfulness
Alfalfa	alfalfa
Algen	algae
Algebra	algebra
algebraisch	algebraically
Algorithmus	algorithm
alias	alias
Alibi	alibi
Außerirdischer	alien
Entfremdbarkeit	alienability
veräußerlich	alienable
entfremden	alienate
Entfremdung	estrangement
Entfremder	alienator
Außerirdische	aliens
aussteigen	disembark
ausrichten	lineup
Ausrichtung	alignment
wie	rite
Ähnlichkeit	similarity
Alimente	alimony
lebendig	vivid
Lebendigkeit	vividness
alkalisch	alkaline
Alkalinität	alkalinity
alkalisieren	alkalize
Alkalisierung	alkalization
Alkaloid	alkaloid
alle	heel
Behauptung	assertion
behaupten	assert
angeblich	supposedly
Treue	fidelity
allegorisch	allegorically
Allegorist	allegorist
Allegorie	allegory
Allergen	allergen
allergen	allergenic
allergisch	allergic
Allergologe	allergist
Allergie	allergy
lindern	alleviate
Linderung	alleviator
lindernd	alleviative
Gasse	alleyway
Allianz	alliance
verbündet	allied
Alliierte	allies
Alligator	alligator
allitieren	alliterate
Alliteration	alliteration
zuordenbar	relatable
zuordnen	assigner
Zuweisung	allocation
Allokator	allocator
Zuteilung	allotment
erlauben	permit
Zuschuss	allowance
Legierung	alloy
Piment	pimento
locken	lure
Verführer	seducer
verlockend	tempting
verführerisch	temptingly
Anspielung	allusiveness
anspielend	allusively
Verbündete	ally
allmächtig	omnipotent
Allmacht	omnipotence
Mandel	tonsil
fast	nearly
Aloe	aloe
oben	upside
Auf Wiedersehen	aloha
allein	alone
Einsamkeit	solitude
entlang	along
neben	beside
distanziert	standoffish
laut	raucous
Alpaka	alpaca
Alpha	alpha
Alphabet	alphabet
alphabetisch	alphabetically
Alphabetisierung	literacy
alphabetisieren	alphabetize
alphanumerisch	alphanumerical
alpin	alpine
bereits	already
In Ordnung	alright
Auch	also
Altar	altar
Altarbild	altarpiece
alter	alter
Veränderbarkeit	alterability
änderbar	amendable
Änderung	modification
Auseinandersetzung	grappling
wechseln	alternate
abwechselnd	alternating
Wechsel	alternation
Alternative	alternativeness
Generator	generator
Obwohl	although
Höhe	height
insgesamt	altogether
Altruismus	altruism
altruistisch	altruistically
Alaun	alum
aluminisieren	aluminize
Aluminium	aluminum
Alumni	alumni
stets	unfailingly
Alzheimer	alzheimer
am	am
Amaretto	amaretto
anhäufen	amass
Amateur	amateur
amateurhaft	amateurish
dilettantisch	amateurishly
Dilettantismus	amateurishness
Amateurismus	amateurism
verblüffen	nonplus
erstaunt	astounded
Erstaunen	astonishment
Staunen	amazement
toll	toll
erstaunlich	stupendously
Botschafter	ambassador
Botschafter-	ambassadorial
Botschafterschaft	ambassadorship
Bernstein	amber
Ambiente	ambience
Beidhändigkeit	ambidexterity
beidhändig	ambidextrously
Mehrdeutigkeit	ambiguousness
mehrdeutig	ambiguously
ehrgeizig	greatness
Ehrgeiz	ambitiousness
Ambivalenz	ambivalence
ambivalent	ambivalent
schlendern	ambling
Krankenwagen	ambulance
ambulant	outpatient
Hinterhalt	ambusher
Amen	amen
Annehmlichkeit	amenity
amerikanisieren	americanize
Amethyst	amethyst
liebenswürdig	amiable
freundschaftlich	amicable
friedlich	peaceful
inmitten	amidst
Freund	friend
Amino	amino
falsch	wrongheaded
Jedoch	however
Ammoniak	ammonia
Ammonium	ammonium
Munition	munitions
Amnesie	amnesiac
Amöbe	amoeba
Amok	amok
unter	under
amoralisch	amoral
Amoralität	amorality
verliebt	lovelorn
Verliebtheit	infatuation
amorph	amorphously
Menge	quantity
Ampere	amp
Stromstärke	amperage
Amphetamin	amphetamine
Amphibie	amphibian
amphibisch	amphibiously
Amphitheater	amphitheater
Verstärkung	reinforcement
Verstärker	repeater
verstärken	reinforce
amputieren	amputate
Amputation	amputation
Amputierte	amputee
Amulett	amulet
amüsant	amusable
amüsieren	amuser
amüsiert	bemusedly
Amüsement	amusement
lustig	jolly
ein	an
Anakonda	anaconda
anaerob	anaerobic
betäuben	stun
Anagramm	anagram
Anagramme	anagrams
anal	anally
Analgetikum	analgesic
analog	analogous
Analogie	analogy
Analysen	analyses
Analyse	analysis
Analytiker	analyst
analytisch	analytically
Analytik	analytics
Analysierbarkeit	analyzability
zerlegbar	dissectible
analysieren	analyze
Analysator	analyzer
anamorph	anamorphic
anarchisch	anarchical
Anarchismus	anarchism
Anarchist	anarchist
Anarchie	anarchy
anatomisch	anatomically
Anatom	anatomist
Anatomisierung	anatomization
Vorfahr	forebear
Vorfahren	ancestors
Ahnen-	ancestral
angestammt	ancestrally
Abstammung	parentage
Anker	anchor
Anchorage	anchorage
verankert	anchored
ankerlos	anchorless
Moderatorin	anchorwoman
Anschovis	anchovy
uralt	ancient
in der Antike	anciently
Und	ma
Androgynie	androgyny
Android	android
anekdotisch	anecdotic
Anekdote	anecdote
Anämie	anemia
anämisch	anemic
Anästhesie	anesthesia
Anästhesist	anesthetist
Anästhesiologie	anesthesiology
Narkose	anesthetic
Betäubung	numbing
Aneurysma	aneurysm
ein neuer	anew
Engel	angel
Kaiserfisch	angelfish
engelhaft	angelically
Wut	rage
Angioplastie	angioplasty
Winkel	nook
abgewinkelt	angled
Angler	angler
Winkelwurm	angleworm
wütend	ragingly
Pein	anguish
gequält	tormented
Tier	beast
animalisch	animalistic
animalisieren	animalize
animiert	animated
lebhaft	vividly
animierend	animating
Animation	animation
Animator	animator
Anime	anime
Feindseligkeit	animosity
Knöchel	knuckles
anklebone	anklebone
Fußkettchen	anklet
Annexion	annexation
vernichten	scathe
Vernichtung	extermination
vernichtend	witheringly
Vernichter	annihilator
Jubiläum	jubilee
kommentieren	annotate
Anmerkung	remark
Kommentator	commentator
bekannt geben	announce
Bekanntmachung	bulletin
Ansager	enunciator
belästigen	pester
Ärger	hassle
verärgert	resentfully
nervig	unnerving
ärgerlich	vexingly
Ärgernis	peskiness
jährlich	yearly
Rente	annuity
annullieren	nullify
Aufhebung	repeal
salben	anoint
gesalbt	anointed
Salber	anointer
Salbung	anointment
Anonymität	anonymousness
anonym	anonymously
Anorexie	anorexia
magersüchtig	anorexic
Antwort	response
Beantworter	answerer
antwortlos	answerless
An	on
Antazida	antacid
Antagonismus	antagonism
antagonistisch	antagonistically
antagonisieren	antagonize
Antarktis	antarctic
im Hinblick auf	ante
Ameisenbär	anteater
Antilope	antelope
anterior	anterior
Hymne	hymn
Ameisenhaufen	anthill
Anthologe	anthologist
Anthologie	anthology
Milzbrand	anthrax
anthropologisch	anthropologically
Anthropologe	anthropologist
Anthropologie	anthropology
anthropomorph	anthropomorphic
Anti	anti
Flugabwehr	antiaircraft
antibakteriell	antibacterial
Antibiotikum	antibiotic
Antibiotika	antibiotics
Antikörper	antibody
Antizensur	anticensorship
Antichrist	antichrist
antichristlich	antichristian
Antikirche	antichurch
antizipieren	anticipate
Vorwegnahme	anticipation
vorausschauend	forethoughtfully
Antizipator	anticipator
Enttäuschung	disillusion
gegen den Uhrzeigersinn	counterclockwise
Antikoagulans	anticoagulant
Antikoagulation	anticoagulation
Antikommunismus	anticommunism
Korrosionsschutz	anticorrosive
Possen	antics
antidemokratisch	antidemocratic
Antidepressivum	antidepressant
Gegenmittel	counteragent
Anti-Establishment	antiestablishment
Antifeminismus	antifeminism
antifeministisch	antifeminist
Antischaummittel	antifoaming
Frostschutzmittel	antifreeze
antifundamentalistisch	antifundamentalist
antimykotisch	antifungal
Anti-Glücksspiel	antigambling
Blendschutz	antiglare
gegen die Regierung	antigovernment
Anti Schwerkraft	antigravity
Antiwachstum	antigrowth
Antiheld	antihero
antiheroisch	antiheroic
Antihistamin	antihistamine
antihuman	antihuman
Antimaterie	antimatter
antimilitaristisch	antimilitarist
antimilitärisch	antimilitary
antimonarchisch	antimonarchical
antinationalistisch	antinationalist
Antioxidans	antioxidant
Antipasti	antipasto
Antipathie	antipathy
antipatriotisch	antipatriotic
Antipersonen	antipersonnel
Antitranspirant	antiperspirant
antipoetisch	antipoetic
Gegen Verschmutzung	antipollution
Anti-Armut	antipoverty
Antipsychotikum	antipsychotic
altmodisch	unfashionably
veraltet	outdated
Antiquität	antique
antik	antiquely
Antike	antiquity
Antirealismus	antirealism
Stabilisatoren	antireligious
antirevolutionär	antirevolutionary
Anti-Rost	antirust
antisemitisch	antisemitic
Antisemitismus	antisemitism
Antiseptikum	antiseptic
antiseptisch	antiseptically
Antiseptika	antiseptics
Antisklaverei	antislavery
Anti-Raucher	antismoking
asozial	antisocial
antisozialistisch	antisocialist
Diebstahlschutz	antitheft
Antithese	antithesis
Antitoxin	antitoxin
Virostatikum	antiviral
Antivirus	antivirus
Antikrieg	antiwar
Geweih	antlered
Antonym	antonym
nervös	nervously
Amboss	anvil
Angst	trepidation
ängstlich	inapprehensive
beliebig	any
irgendjemand	anyone
jedenfalls	anyhow
mehr	more
überall	anywhere
irgendetwas	anything
Trotzdem	still
wie auch immer	howsoever
Aorta	aorta
Apache	apache
auseinander	apart
Wohnung	apartment
Wohnungen	apartments
Getrenntheit	separateness
apathisch	apathetically
Apathie	apathy
Affe	monkey
Apfel	apple
Apex	apex
Blattlaus	aphid
aphrodisierend	aphrodisiacal
jede Menge	aplenty
Apnoe	apnea
apokalyptisch	apocalyptically
apolitisch	apolitical
entschuldigend	excusing
Apologetik	apologetics
sich entschuldigen	apologize
Entschuldigung	apology
apostolisch	apostolic
Apostroph	apostrophe
Apotheker	pharmacist
App	app
entsetzt	horrified
entsetzlich	horribly
Gerät	device
Bekleidung	apparel
ersichtlich	apparent
scheinbar	seemingly
Scheinbarkeit	apparentness
Erscheinung	apparition
appellieren	appeal
anfechtbar	voidable
reizvoll	appealing
ansprechend	appealingly
erscheinen	seem
Aussehen	appearance
besänftigend	appeasable
beschwichtigen	appease
Beschwichtigung	appeasement
Beschwichtiger	appeaser
beschwichtigend	appeasing
anhängen	append
Anhängsel	appendage
Blinddarmoperation	appendectomy
Anhänge	appendices
Appendizitis	appendicitis
Appetit	appetite
Vorspeise	appetizer
appetitlich	appetizingly
applaudieren	applauder
lobenswert	praiseworthy
Beifall	applause
Apfelkarren	applecart
Apfelsoße	applesauce
Anwendbarkeit	applicableness
anwendbar	applicably
Antragsteller	petitioner
Anwendung	application
Applikator	applier
anwendungsbezogen	applicatory
angewandt	applied
anwenden	apply
ernennen	appoint
ernannt	appointee
Ernennung	appointer
Termin	appointment
bewertbar	appraisable
bewerten	assess
Bewertung	valuation
Gutachter	evaluator
abschätzend	appraisingly
nennenswert	appreciable
spürbar	perceptibly
anerkennen	appreciate
dankbar	thankworthy
anerkennend	appreciatory
Wertschätzung	esteem
Schätzer	estimator
begreifen	grasping
Festnahme	detention
Begreifbarkeit	apprehensibility
begreiflich	apprehensible
Auffassung	apprehension
Beklommenheit	apprehensiveness
Lehrling	apprentice
Ausbildung	training
informieren	inform
Ansatz	approach
Zugänglichkeit	approachableness
nähert sich	approaching
passend	suiting
Aneigner	appropriator
Genehmigung	authorization
genehmigen	approve
Genehmiger	authorizer
ungefähr	thereabouts
etwa	approximately
Annäherung	approximation
Aprikose	apricot
April	april
Schürze	apron
geeignet	suitably
Eignung	suitableness
treffend	aptly
Aqua	aqua
Aquakultur	aquaculture
Aquamarin	aquamarine
Wassermann	aquarius
Aquarium	fishtank
Wasser-	aquatic
aquatisch	aquatically
Wassersport	aquatics
Aquädukt	aqueduct
Grundwasserleiter	aquifer
Arabisch	arabic
Spinnenphobie	arachnophobia
willkürlich	arbitrary
Willkür	arbitrariness
vermitteln	mediate
Schlichtung	arbitration
schiedsrichterlich	arbitrative
Schiedsrichter	umpire
Laube	arbor
Arkade	arcade
Bogen	slur
archäologisch	archaeological
Archäologe	archaeologist
Archäologie	archaeology
archaisch	archaic
Erzengel	archangelic
Erzbischof	archbishop
Erzherzogin	archduchess
Erzherzog	archduke
gewölbt	vaulted
Erzfeind	archenemy
Bogenschütze	archer
Bogenschießen	archery
Bögen	arches
archetypisch	archetypical
Wölbung	arching
Archipel	archipelago
Architekt	architect
architektonisch	architecturally
die Architektur	architecture
Archiv	archives
Archivar	archivist
Torbogen	archway
Lichtbogenbildung	arcing
Arktis	arctic
leidenschaftlich	passionately
mühsam	tediously
Beschwerlichkeit	arduousness
Bereich	area
Arena	arena
Warzenhof	areola
Argon	argon
fraglich	questionably
wohl	arguably
argumentieren	disputer
Streit	quarrel
argumentation	argumentation
argumentativ	argumentatively
Argumentationsfähigkeit	argumentativeness
trocken	dryly
Trockenheit	drought
entstehen	originate
Schwalbenschwanzlinie	arisen
Aristokrat	aristocrat
aristokratisch	aristocratically
Aristokratismus	aristocratism
Arithmetik	arithmetic
arithmetisch	arithmetically
Rechner	arithmetician
Arche	ark
Arm	arm
Armada	armada
Gürteltier	armadillo
Armageddon	armageddon
armband	armband
Sessel	armchair
bewaffnet	armed
Arm voll	armful
Armloch	armhole
Bewaffnung	arming
armlos	armless
Armlast	armload
Schrank	cupboard
Rüstung	armor
gepanzert	armored
Waffenkammer	armory
Achsel	armpit
Armlehne	armrest
Waffen	weaponry
Armee	army
Aroma	flavoring
Aromatherapie	aromatherapy
aromatisch	flavorful
Aromatisierung	aromatization
mit ...-Geschmack	flavored
entstand	arose
um	runt
erregen	arouse
Erreger	pathogen
anklagen	indict
Anklage	indictment
arrangieren	arrange
Anordnung	arrangement
Arrangeur	arranger
Array	array
Festgenommener	arrestee
Ableiter	arrester
verhaftend	arresting
fesselnd	riveting
Arrhythmie	arrhythmia
arrhythmisch	arrhythmic
Ankunft	arrival
ankommen	arrive
Arroganz	arrogance
arrogant	arrogantly
Pfeil	dart
mit Pfeilen versehen	arrowed
Pfeilspitze	arrowhead
pfeillos	arrowless
Arsenal	arsenal
Arsen	arsenic
Brandstiftung	arson
Brandstifter	firebrand
Kunst	artistry
arteriell	arterially
Arterie	artery
artesisch	artesian
kunstvoll	ornately
List	ruse
arthritisch	arthritic
Arthritis	arthritis
Artischocke	artichoke
Artikel	item
artikulieren	articulate
artikuliert	articulated
Ausdrucksfähigkeit	articulateness
Artikulation	articulation
Artefakt	artifact
künstlich	artificially
Künstlichkeit	artificialness
Artillerie	ordnance
Artillerist	artilleryman
Handwerker	repairman
Handwerkskunst	craftsmanship
Künstler	artist
künstlerisch	artsy
kunstlos	inartistically
natürlich	naturally
Kunstlosigkeit	artlessness
Rucola	arugula
als	yak
Asbest	asbestos
aufsteigen	ascender
aufsteigbar	ascendable
aufsteigend	ascending
Aufstieg	ascent
ermitteln	ascertain
feststellbar	ascertainably
ascot	ascot
Asexualität	asexuality
asexualisieren	asexualize
A sexuell	asexually
Asche	ashes
beschämt	shamefaced
Scham	shame
Aschenbecher	ashtray
aschfahl	ashen
an Land	ashore
beiseite	aside
dumm	stupidly
fragen	demander
Soldat	soldier
schief	slopped
schlafend	asleep
Spargel	asparagus
Aspartam	aspartame
Aspekt	aspect
Espe	aspen
Asphalt	tarmac
Erstickung	suffocation
ersticken	suffocate
aspirieren	aspirate
Aspiration	aspiration
streben	strive
