subject	session	condition	trial	prime	target	target_category	response_time	accuracy
s04_2018_rd	3	Cz	56	quantità	quintale	quantity	658.5	1	
s04_2018_rd	3	Cz	57	quantità	emarginazione	social	891.0999999999999	1	
s04_2018_rd	3	Cz	58	sociale	mole	quantity	634.5	1	
s04_2018_rd	3	Cz	59	quantità	etnia	social	707.9000000000001	1	
s04_2018_rd	3	Cz	60	sociale	emarginazione	social	1282.7000000000003	1	
s04_2018_rd	3	Cz	61	sociale	sfacciataggine	social	906.0999999999999	1	
s04_2018_rd	3	Cz	62	sociale	altruismo	social	729.0	1	
s04_2018_rd	3	Cz	63	sociale	estensione	quantity	766.4000000000001	1	
s04_2018_rd	3	Cz	64	sociale	nomea	social	570.5	1	
s04_2018_rd	3	Cz	65	sociale	dissenso	social	1406.6	1	
s04_2018_rd	3	Cz	66	sociale	massa	quantity	489.2000000000003	1	
s04_2018_rd	3	Cz	67	quantità	accrescimento	quantity	896.8000000000002	1	
s04_2018_rd	3	Cz	68	sociale	venerazione	social	631.5999999999999	1	
s04_2018_rd	3	Cz	69	sociale	gentilezza	social	761.0	1	
s04_2018_rd	3	Cz	70	sociale	accumulo	quantity	837.0999999999999	1	
s04_2018_rd	3	Cz	71	quantità	diminuzione	quantity	646.5	1	
s04_2018_rd	3	Cz	72	quantità	carico	quantity	647.0999999999999	1	
s04_2018_rd	3	Cz	73	quantità	scherzo	social	591.9000000000001	1	
s04_2018_rd	3	Cz	74	sociale	espansione	quantity	899.4000000000001	1	
s04_2018_rd	3	Cz	75	sociale	tonnellata	quantity	626.2000000000003	1	
s04_2018_rd	3	Cz	76	quantità	dissenso	social	723.5	1	
s04_2018_rd	3	Cz	77	sociale	penuria	quantity	561.7000000000003	1	
s04_2018_rd	3	Cz	78	quantità	gentilezza	social	773.8000000000002	1	
s04_2018_rd	3	Cz	79	sociale	decremento	quantity	777.9000000000001	1	
s04_2018_rd	3	Cz	80	quantità	porzione	quantity	829.2000000000003	1	
s04_2018_rd	3	Cz	81	quantità	infamia	social	598.7000000000003	1	
s04_2018_rd	3	Cz	82	quantità	venerazione	social	921.5	1	
s04_2018_rd	3	Cz	83	quantità	complotto	social	975.4000000000001	1	
s04_2018_rd	3	Cz	84	sociale	servitù	social	995.7000000000003	1	
s04_2018_rd	3	Cz	85	sociale	allargamento	quantity	902.4000000000001	1	
s04_2018_rd	3	Cz	86	sociale	complotto	social	573.2000000000003	1	
s04_2018_rd	3	Cz	87	sociale	alleanza	social	1121.3000000000002	1	
s04_2018_rd	3	Cz	88	quantità	dilatazione	quantity	1159.4	1	
s04_2018_rd	3	Cz	89	quantità	espansione	quantity	1027.4	1	
s04_2018_rd	3	Cz	90	quantità	altruismo	social	1292.9	1	
s04_2018_rd	3	Cz	91	quantità	fascino	social	1571.7000000000003	1	
s04_2018_rd	3	Cz	92	quantità	immensità	quantity	623.5999999999999	1	
s04_2018_rd	3	Cz	93	quantità	massa	quantity	561.9000000000001	1	
s04_2018_rd	3	Cz	94	quantità	relazione	social	654.0	1	
s04_2018_rd	3	Cz	95	quantità	rivalità	social	1854.7000000000003	1	
s04_2018_rd	3	Cz	96	sociale	scherzo	social	831.5	1	
s04_2018_rd	3	Cz	97	sociale	diffamazione	social	776.9000000000001	1	
s04_2018_rd	3	Cz	98	quantità	mole	quantity	556.2000000000003	1	
s04_2018_rd	3	Cz	99	quantità	sfacciataggine	social	1209.1	1	
s04_2018_rd	3	Cz	100	sociale	fascino	social	715.2000000000003	1	
s04_2018_rd	3	Cz	101	quantità	plebe	social	753.3000000000002	1	
s04_2018_rd	3	Cz	102	sociale	offesa	social	630.0999999999999	1	
s04_2018_rd	3	Cz	103	sociale	dispetto	social	1367.4	1	
s04_2018_rd	3	Cz	104	sociale	socievolezza	social	651.5999999999999	1	
s04_2018_rd	3	Cz	105	quantità	ingrandimento	quantity	636.3000000000002	1	
s04_2018_rd	3	Cz	106	quantità	patto	social	789.5999999999999	1	
s04_2018_rd	3	Cz	107	sociale	etnia	social	641.2000000000003	1	
s04_2018_rd	3	Cz	108	quantità	tonnellata	quantity	618.4000000000001	1	
s04_2018_rd	3	Cz	109	sociale	cospirazione	social	756.7000000000003	1	
s04_2018_rd	3	Cz	110	quantità	riduzione	quantity	585.3000000000002	1	
s04_2018_rd	3	Cz	111	quantità	stazza	quantity	756.8000000000002	1	
s04_2018_rd	3	Cz	112	quantità	decremento	quantity	1265.5	1	
s04_2018_rd	1	rSATL	1	quantità	ingrandimento	quantity	968.5	1	
s04_2018_rd	1	rSATL	2	quantità	offesa	social	844.5999999999999	1	
s04_2018_rd	1	rSATL	3	quantità	estensione	quantity	1773.5	1	
s04_2018_rd	1	rSATL	4	quantità	sudditanza	social	857.5999999999999	1	
s04_2018_rd	1	rSATL	5	sociale	socievolezza	social	706.2000000000003	1	
s04_2018_rd	1	rSATL	6	sociale	incremento	quantity	745.2000000000003	1	
s04_2018_rd	1	rSATL	7	sociale	catasta	quantity	1517.9	1	
s04_2018_rd	1	rSATL	8	quantità	immensità	quantity	723.9000000000001	1	
s04_2018_rd	1	rSATL	9	sociale	cumulo	quantity	706.0999999999999	1	
s04_2018_rd	1	rSATL	10	sociale	rivalità	social	864.9000000000001	1	
s04_2018_rd	1	rSATL	11	quantità	emarginazione	social	944.8000000000002	1	
s04_2018_rd	1	rSATL	12	quantità	fascino	social	1477.7000000000003	1	
s04_2018_rd	1	rSATL	13	quantità	stazza	quantity	837.0999999999999	1	
s04_2018_rd	1	rSATL	14	sociale	immensità	quantity	734.4000000000001	1	
s04_2018_rd	1	rSATL	15	sociale	diminuzione	quantity	651.9000000000001	-1	
s04_2018_rd	1	rSATL	16	quantità	carico	quantity	716.8000000000002	1	
s04_2018_rd	1	rSATL	17	quantità	lusinga	social	858.8000000000002	1	
s04_2018_rd	1	rSATL	18	quantità	sfacciataggine	social	1011.5999999999999	1	
s04_2018_rd	1	rSATL	19	quantità	cospirazione	social	1013.5999999999999	1	
s04_2018_rd	1	rSATL	20	quantità	altruismo	social	1159.7000000000003	1	
s04_2018_rd	1	rSATL	21	quantità	servitù	social	995.9000000000001	1	
s04_2018_rd	1	rSATL	22	quantità	grandezza	quantity	654.5	1	
s04_2018_rd	1	rSATL	23	sociale	ingrandimento	quantity	655.3000000000002	1	
s04_2018_rd	1	rSATL	24	sociale	grossezza	quantity	816.0	1	
s04_2018_rd	1	rSATL	25	quantità	patto	social	1074.1	1	
s04_2018_rd	1	rSATL	26	quantità	rivalità	social	762.3000000000002	1	
s04_2018_rd	1	rSATL	27	sociale	cospirazione	social	934.4000000000001	1	
s04_2018_rd	1	rSATL	28	quantità	allargamento	quantity	1243.7000000000003	1	
s04_2018_rd	1	rSATL	29	quantità	massa	quantity	788.5999999999999	1	
s04_2018_rd	1	rSATL	30	sociale	relazione	social	807.9000000000001	1	
s04_2018_rd	1	rSATL	31	sociale	tradizione	social	1482.8000000000002	1	
s04_2018_rd	1	rSATL	32	sociale	stazza	quantity	722.3000000000002	1	
s04_2018_rd	1	rSATL	33	quantità	diffamazione	social	1072.4	1	
s04_2018_rd	1	rSATL	34	quantità	dispetto	social	744.5	1	
s04_2018_rd	1	rSATL	35	sociale	scherzo	social	1749.1	1	
s04_2018_rd	1	rSATL	36	quantità	relazione	social	689.9000000000001	1	
s04_2018_rd	1	rSATL	37	sociale	venerazione	social	1057.3000000000002	1	
s04_2018_rd	1	rSATL	38	sociale	sfacciataggine	social	738.2000000000003	1	
s04_2018_rd	1	rSATL	39	sociale	etnia	social	999.4000000000001	1	
s04_2018_rd	1	rSATL	40	quantità	accumulo	quantity	762.4000000000001	1	
s04_2018_rd	1	rSATL	41	sociale	fascino	social	598.3000000000002	1	
s04_2018_rd	1	rSATL	42	quantità	tonnellata	quantity	1353.2000000000003	1	
s04_2018_rd	1	rSATL	43	sociale	riduzione	quantity	766.0	1	
s04_2018_rd	1	rSATL	44	sociale	carenza	quantity	730.0999999999999	1	
s04_2018_rd	1	rSATL	45	quantità	tradizione	social	1143.3000000000002	1	
s04_2018_rd	1	rSATL	46	quantità	gentilezza	social	716.2000000000003	1	
s04_2018_rd	1	rSATL	47	sociale	allargamento	quantity	754.2000000000003	1	
s04_2018_rd	1	rSATL	48	sociale	accumulo	quantity	663.0999999999999	1	
s04_2018_rd	1	rSATL	49	sociale	addizione	quantity	735.0	1	
s04_2018_rd	1	rSATL	50	sociale	dissenso	social	972.5999999999999	1	
s04_2018_rd	1	rSATL	51	sociale	mole	quantity	688.7000000000003	1	
s04_2018_rd	1	rSATL	52	sociale	plebe	social	816.0999999999999	1	
s04_2018_rd	1	rSATL	53	sociale	complotto	social	658.0999999999999	1	
s04_2018_rd	1	rSATL	54	sociale	diffamazione	social	835.0	1	
s04_2018_rd	1	rSATL	55	quantità	venerazione	social	1244.3000000000002	1	
s04_2018_rd	1	rSATL	56	sociale	dilatazione	quantity	1805.2000000000003	1	
s04_2018_rd	1	rSATL	57	quantità	notorietà	social	775.8000000000002	1	
s04_2018_rd	1	rSATL	58	quantità	socievolezza	social	1563.4	1	
s04_2018_rd	1	rSATL	59	sociale	massa	quantity	1175.5	1	
s04_2018_rd	1	rSATL	60	quantità	carenza	quantity	1763.4	1	
s04_2018_rd	1	rSATL	61	quantità	etnia	social	1375.7000000000003	1	
s04_2018_rd	1	rSATL	62	quantità	mole	quantity	987.0	1	
s04_2018_rd	1	rSATL	63	sociale	frazione	quantity	1278.4	1	
s04_2018_rd	1	rSATL	64	sociale	tonnellata	quantity	678.0	1	
s04_2018_rd	1	rSATL	65	sociale	porzione	quantity	1133.3000000000002	1	
s04_2018_rd	1	rSATL	66	quantità	porzione	quantity	954.9000000000001	1	
s04_2018_rd	1	rSATL	67	sociale	grandezza	quantity	671.5	1	
s04_2018_rd	1	rSATL	68	quantità	grossezza	quantity	679.7000000000003	1	
s04_2018_rd	1	rSATL	69	sociale	gentilezza	social	903.0	1	
s04_2018_rd	1	rSATL	70	sociale	espansione	quantity	789.8000000000002	1	
s04_2018_rd	1	rSATL	71	quantità	espansione	quantity	793.3000000000002	1	
s04_2018_rd	1	rSATL	72	sociale	sudditanza	social	1243.9	1	
s04_2018_rd	1	rSATL	73	sociale	lusinga	social	612.8000000000002	1	
s04_2018_rd	1	rSATL	74	sociale	alleanza	social	782.8000000000002	1	
s04_2018_rd	1	rSATL	75	quantità	riduzione	quantity	754.4000000000001	1	
s04_2018_rd	1	rSATL	76	quantità	accrescimento	quantity	695.0999999999999	1	
s04_2018_rd	1	rSATL	77	quantità	enormità	quantity	1133.7000000000003	1	
s04_2018_rd	1	rSATL	78	quantità	incremento	quantity	651.3000000000002	1	
s04_2018_rd	1	rSATL	79	sociale	patto	social	572.0	-1	
s04_2018_rd	1	rSATL	80	quantità	penuria	quantity	1064.0	1	
s04_2018_rd	1	rSATL	81	quantità	infamia	social	1008.0999999999999	1	
s04_2018_rd	1	rSATL	82	quantità	dissenso	social	883.0	1	
s04_2018_rd	1	rSATL	83	quantità	plebe	social	1506.4	1	
s04_2018_rd	1	rSATL	84	quantità	complotto	social	697.0999999999999	1	
s04_2018_rd	1	rSATL	85	quantità	scherzo	social	751.9000000000001	1	
s04_2018_rd	1	rSATL	86	sociale	quintale	quantity	724.5999999999999	1	
s04_2018_rd	1	rSATL	87	sociale	dispetto	social	722.8000000000002	1	
s04_2018_rd	1	rSATL	88	sociale	infamia	social	1072.9	1	
s04_2018_rd	1	rSATL	89	quantità	catasta	quantity	664.8000000000002	1	
s04_2018_rd	1	rSATL	90	quantità	dilatazione	quantity	2344.9	1	
s04_2018_rd	1	rSATL	91	quantità	addizione	quantity	717.8000000000002	1	
s04_2018_rd	1	rSATL	92	sociale	nomea	social	1147.8000000000002	1	
s04_2018_rd	1	rSATL	93	sociale	estensione	quantity	1568.6	1	
s04_2018_rd	1	rSATL	94	quantità	cumulo	quantity	604.8000000000002	1	
s04_2018_rd	1	rSATL	95	quantità	competizione	social	999.4000000000001	1	
s04_2018_rd	1	rSATL	96	sociale	competizione	social	594.3000000000002	1	
s04_2018_rd	1	rSATL	97	sociale	emarginazione	social	804.9000000000001	1	
s04_2018_rd	1	rSATL	98	quantità	alleanza	social	807.7000000000003	1	
s04_2018_rd	1	rSATL	99	quantità	nomea	social	682.5	1	
s04_2018_rd	1	rSATL	100	sociale	penuria	quantity	1018.0	1	
s04_2018_rd	1	rSATL	101	sociale	altruismo	social	1212.0	1	
s04_2018_rd	1	rSATL	102	sociale	carico	quantity	734.0999999999999	1	
s04_2018_rd	1	rSATL	103	sociale	decremento	quantity	739.5999999999999	1	
s04_2018_rd	1	rSATL	104	sociale	notorietà	social	969.0999999999999	1	
s04_2018_rd	1	rSATL	105	quantità	decremento	quantity	997.2000000000003	-1	
s04_2018_rd	1	rSATL	106	sociale	offesa	social	679.9000000000001	1	
s04_2018_rd	1	rSATL	107	quantità	quintale	quantity	719.2000000000003	1	
s04_2018_rd	1	rSATL	108	sociale	servitù	social	861.4000000000001	1	
s04_2018_rd	1	rSATL	109	quantità	frazione	quantity	693.4000000000001	1	
s04_2018_rd	1	rSATL	110	sociale	accrescimento	quantity	1156.3000000000002	1	
s04_2018_rd	1	rSATL	111	sociale	enormità	quantity	1416.9	1	
s04_2018_rd	1	rSATL	112	quantità	diminuzione	quantity	995.0999999999999	1	
s26_2018_nb	2	rIPS	1	sociale	dilatazione	quantity	724.5999999999999	1	
s26_2018_nb	2	rIPS	2	quantità	plebe	social	650.5999999999999	1	
s26_2018_nb	2	rIPS	3	sociale	catasta	quantity	891.5	-1	
s26_2018_nb	2	rIPS	4	sociale	complotto	social	554.9000000000001	1	
s26_2018_nb	2	rIPS	5	sociale	carico	quantity	999.5	1	
s26_2018_nb	2	rIPS	6	sociale	frazione	quantity	690.4000000000001	1	
s26_2018_nb	2	rIPS	7	quantità	venerazione	social	849.8000000000002	1	
s26_2018_nb	2	rIPS	8	quantità	carenza	quantity	1138.6	1	
s26_2018_nb	2	rIPS	9	quantità	cumulo	quantity	1248.0	-1	
s26_2018_nb	2	rIPS	10	quantità	estensione	quantity	1192.8000000000002	1	
s26_2018_nb	2	rIPS	11	sociale	enormità	quantity	747.4000000000001	1	
s26_2018_nb	2	rIPS	12	sociale	infamia	social	1616.1	1	
s26_2018_nb	2	rIPS	13	quantità	relazione	social	730.4000000000001	1	
s26_2018_nb	2	rIPS	14	sociale	mole	quantity	927.7000000000003	1	
s26_2018_nb	2	rIPS	15	sociale	alleanza	social	605.0999999999999	1	
s26_2018_nb	2	rIPS	16	quantità	addizione	quantity	936.0	1	
s26_2018_nb	2	rIPS	17	sociale	porzione	quantity	765.3000000000002	1	
s26_2018_nb	2	rIPS	18	sociale	espansione	quantity	1425.4	1	
s26_2018_nb	2	rIPS	19	sociale	grossezza	quantity	795.5999999999999	1	
s26_2018_nb	2	rIPS	20	sociale	stazza	quantity	958.4000000000001	1	
s26_2018_nb	2	rIPS	21	sociale	dissenso	social	747.0999999999999	1	
s26_2018_nb	2	rIPS	22	quantità	dissenso	social	743.9000000000001	1	
s26_2018_nb	2	rIPS	23	sociale	venerazione	social	628.5999999999999	1	
s26_2018_nb	2	rIPS	24	quantità	accumulo	quantity	646.0	1	
s26_2018_nb	2	rIPS	25	quantità	incremento	quantity	782.7000000000003	1	
s26_2018_nb	2	rIPS	26	quantità	lusinga	social	578.2000000000003	1	
s26_2018_nb	2	rIPS	27	quantità	fascino	social	541.5	1	
s26_2018_nb	2	rIPS	28	quantità	sfacciataggine	social	698.9000000000001	1	
s26_2018_nb	2	rIPS	29	quantità	decremento	quantity	785.8000000000002	1	
s26_2018_nb	2	rIPS	30	quantità	dilatazione	quantity	653.2000000000003	1	
s26_2018_nb	2	rIPS	31	quantità	ingrandimento	quantity	693.8000000000002	1	
s26_2018_nb	2	rIPS	32	sociale	servitù	social	756.5999999999999	1	
s26_2018_nb	2	rIPS	33	quantità	patto	social	689.3000000000002	1	
s26_2018_nb	2	rIPS	34	quantità	tonnellata	quantity	1192.9	1	
s26_2018_nb	2	rIPS	35	quantità	etnia	social	699.7000000000003	1	
s26_2018_nb	2	rIPS	36	sociale	accrescimento	quantity	1170.4	1	
s26_2018_nb	2	rIPS	37	sociale	rivalità	social	1270.4	1	
s26_2018_nb	2	rIPS	38	quantità	rivalità	social	662.5999999999999	1	
s26_2018_nb	2	rIPS	39	quantità	immensità	quantity	806.5999999999999	1	
s26_2018_nb	2	rIPS	40	quantità	frazione	quantity	721.3000000000002	1	
s26_2018_nb	2	rIPS	41	sociale	plebe	social	607.5	1	
s26_2018_nb	2	rIPS	42	quantità	stazza	quantity	938.3000000000002	1	
s26_2018_nb	2	rIPS	43	quantità	altruismo	social	639.7000000000003	1	
s26_2018_nb	2	rIPS	44	sociale	patto	social	625.0999999999999	1	
s26_2018_nb	2	rIPS	45	quantità	complotto	social	723.2000000000003	1	
s26_2018_nb	2	rIPS	46	sociale	accumulo	quantity	745.2000000000003	1	
s26_2018_nb	2	rIPS	47	quantità	espansione	quantity	1101.9	1	
s26_2018_nb	2	rIPS	48	sociale	gentilezza	social	980.8000000000002	1	
s26_2018_nb	2	rIPS	49	sociale	addizione	quantity	624.0999999999999	1	
s26_2018_nb	2	rIPS	50	quantità	grossezza	quantity	650.3000000000002	1	
s26_2018_nb	2	rIPS	51	quantità	gentilezza	social	643.0999999999999	1	
s26_2018_nb	2	rIPS	52	sociale	dispetto	social	1203.7000000000003	1	
s26_2018_nb	2	rIPS	53	quantità	catasta	quantity	846.5	1	
s26_2018_nb	2	rIPS	54	sociale	allargamento	quantity	671.3000000000002	-1	
s26_2018_nb	2	rIPS	55	sociale	tradizione	social	807.4000000000001	1	
s26_2018_nb	2	rIPS	56	sociale	nomea	social	722.0	1	
s26_2018_nb	2	rIPS	57	sociale	quintale	quantity	624.0999999999999	1	
s26_2018_nb	2	rIPS	58	quantità	nomea	social	610.4000000000001	1	
s26_2018_nb	2	rIPS	59	quantità	diffamazione	social	740.7000000000003	1	
s26_2018_nb	2	rIPS	60	quantità	tradizione	social	649.9000000000001	1	
s26_2018_nb	2	rIPS	61	sociale	immensità	quantity	1098.5	1	
s26_2018_nb	2	rIPS	62	quantità	penuria	quantity	697.2000000000003	-1	
s26_2018_nb	2	rIPS	63	sociale	estensione	quantity	1496.0	1	
s26_2018_nb	2	rIPS	64	sociale	tonnellata	quantity	654.8000000000002	1	
s26_2018_nb	2	rIPS	65	sociale	diffamazione	social	591.5	1	
s26_2018_nb	2	rIPS	66	sociale	cumulo	quantity	738.9000000000001	1	
s26_2018_nb	2	rIPS	67	sociale	penuria	quantity	984.5	-1	
s26_2018_nb	2	rIPS	68	sociale	socievolezza	social	659.8000000000002	1	
s26_2018_nb	2	rIPS	69	quantità	riduzione	quantity	923.9000000000001	1	
s26_2018_nb	2	rIPS	70	sociale	sudditanza	social	697.9000000000001	1	
s26_2018_nb	2	rIPS	71	quantità	scherzo	social	632.8000000000002	1	
s26_2018_nb	2	rIPS	72	sociale	altruismo	social	506.2000000000003	1	
s26_2018_nb	2	rIPS	73	quantità	notorietà	social	601.0	1	
s26_2018_nb	2	rIPS	74	quantità	mole	quantity	811.7000000000003	1	
s26_2018_nb	2	rIPS	75	sociale	massa	quantity	613.8000000000002	1	
s26_2018_nb	2	rIPS	76	quantità	accrescimento	quantity	1023.8000000000002	1	
s26_2018_nb	2	rIPS	77	sociale	emarginazione	social	674.0	1	
s26_2018_nb	2	rIPS	78	quantità	infamia	social	634.0	1	
s26_2018_nb	2	rIPS	79	sociale	lusinga	social	1163.5	1	
s26_2018_nb	2	rIPS	80	sociale	scherzo	social	615.5999999999999	1	
s26_2018_nb	2	rIPS	81	quantità	servitù	social	593.5999999999999	1	
s26_2018_nb	2	rIPS	82	quantità	grandezza	quantity	868.4000000000001	1	
s26_2018_nb	2	rIPS	83	sociale	diminuzione	quantity	796.4000000000001	1	
s26_2018_nb	2	rIPS	84	quantità	enormità	quantity	783.2000000000003	1	
s26_2018_nb	2	rIPS	85	sociale	decremento	quantity	762.5999999999999	1	
s26_2018_nb	2	rIPS	86	quantità	allargamento	quantity	750.7000000000003	1	
s26_2018_nb	2	rIPS	87	sociale	offesa	social	691.5	1	
s26_2018_nb	2	rIPS	88	quantità	diminuzione	quantity	586.8000000000002	1	
s26_2018_nb	2	rIPS	89	quantità	competizione	social	910.4000000000001	1	
s26_2018_nb	2	rIPS	90	sociale	ingrandimento	quantity	732.3000000000002	1	
s26_2018_nb	2	rIPS	91	quantità	dispetto	social	633.8000000000002	1	
s26_2018_nb	2	rIPS	92	sociale	grandezza	quantity	587.2000000000003	1	
s26_2018_nb	2	rIPS	93	sociale	riduzione	quantity	742.5999999999999	1	
s26_2018_nb	2	rIPS	94	quantità	massa	quantity	843.3000000000002	1	
s26_2018_nb	2	rIPS	95	quantità	alleanza	social	596.0999999999999	1	
s26_2018_nb	2	rIPS	96	sociale	incremento	quantity	703.0	1	
s26_2018_nb	2	rIPS	97	sociale	sfacciataggine	social	717.5999999999999	1	
s26_2018_nb	2	rIPS	98	sociale	etnia	social	555.7000000000003	1	
s26_2018_nb	2	rIPS	99	quantità	carico	quantity	760.5	1	
s26_2018_nb	2	rIPS	100	sociale	notorietà	social	620.5999999999999	1	
s26_2018_nb	2	rIPS	101	quantità	emarginazione	social	942.5999999999999	1	
s26_2018_nb	2	rIPS	102	sociale	competizione	social	675.5	1	
s26_2018_nb	2	rIPS	103	quantità	cospirazione	social	779.5999999999999	1	
s26_2018_nb	2	rIPS	104	quantità	socievolezza	social	646.9000000000001	1	
s26_2018_nb	2	rIPS	105	sociale	cospirazione	social	615.7000000000003	1	
s26_2018_nb	2	rIPS	106	quantità	offesa	social	601.8000000000002	1	
s26_2018_nb	2	rIPS	107	sociale	fascino	social	668.4000000000001	1	
s26_2018_nb	2	rIPS	108	sociale	carenza	quantity	756.5	1	
s26_2018_nb	2	rIPS	109	quantità	porzione	quantity	705.4000000000001	1	
s26_2018_nb	2	rIPS	110	quantità	quintale	quantity	984.0	1	
s26_2018_nb	2	rIPS	111	quantità	sudditanza	social	691.5999999999999	1	
s26_2018_nb	2	rIPS	112	sociale	relazione	social	674.9000000000001	1	
s22_2018_cf	2	rIPS	1	quantità	grandezza	quantity	1031.5	1	
s22_2018_cf	2	rIPS	2	sociale	relazione	social	985.0	1	
s22_2018_cf	2	rIPS	3	sociale	porzione	quantity	1628.4	-1	
s22_2018_cf	2	rIPS	4	quantità	sudditanza	social	694.0	1	
s22_2018_cf	2	rIPS	5	sociale	etnia	social	676.8000000000002	1	
s22_2018_cf	2	rIPS	6	quantità	venerazione	social	740.2000000000003	1	
s22_2018_cf	2	rIPS	7	quantità	notorietà	social	929.5999999999999	1	
s22_2018_cf	2	rIPS	8	quantità	infamia	social	775.0	1	
s22_2018_cf	2	rIPS	9	sociale	fascino	social	723.0	1	
s22_2018_cf	2	rIPS	10	sociale	riduzione	quantity	921.0999999999999	1	
s22_2018_cf	2	rIPS	11	quantità	cospirazione	social	2159.2000000000003	1	
s22_2018_cf	2	rIPS	12	sociale	decremento	quantity	803.3000000000002	1	
s22_2018_cf	2	rIPS	13	sociale	patto	social	1382.0	1	
s22_2018_cf	2	rIPS	14	quantità	mole	quantity	641.5999999999999	1	
s22_2018_cf	2	rIPS	15	quantità	dispetto	social	1370.9	1	
s22_2018_cf	2	rIPS	16	sociale	infamia	social	943.0	1	
s22_2018_cf	2	rIPS	17	quantità	penuria	quantity	1795.9	1	
